Club Name, First Name, Last Name, Email
Ammonoosuc Valley ATV,firstName574,lastName574,email574@script.net
,firstName879,lastName879,email879@script.net
,firstName168,lastName168,email168@script.net
,firstName949,lastName949,email949@script.net
,firstName491,lastName491,email491@script.net
,firstName833,lastName833,email833@script.net
,firstName293,lastName293,email293@script.net
,firstName223,lastName223,email223@script.net
,firstName546,lastName546,email546@script.net
,firstName80,lastName80,email80@script.net
,firstName101,lastName101,email101@script.net
,firstName618,lastName618,email618@script.net
,firstName393,lastName393,email393@script.net
,firstName581,lastName581,email581@script.net
,firstName781,lastName781,email781@script.net
,firstName608,lastName608,email608@script.net
,firstName805,lastName805,email805@script.net
,firstName655,lastName655,email655@script.net
,firstName580,lastName580,email580@script.net
,firstName755,lastName755,email755@script.net
,firstName971,lastName971,email971@script.net
,firstName410,lastName410,email410@script.net
,ye,ye,ye@ye.ye
,firstName161,lastName161,email161@script.net
,firstName677,lastName677,email677@script.net
,firstName295,lastName295,email295@script.net
,Marcus,Gobis,mg1021@plymouth.edu
,firstName682,lastName682,email682@script.net
,firstName174,lastName174,email174@script.net
,firstName567,lastName567,email567@script.net
,firstName231,lastName231,email231@script.net
,firstName325,lastName325,email325@script.net
,firstName341,lastName341,email341@script.net
,firstName836,lastName836,email836@script.net
,firstName812,lastName812,email812@script.net
,firstName967,lastName967,email967@script.net
,firstName268,lastName268,email268@script.net
,firstName992,lastName992,email992@script.net
,firstName301,lastName301,email301@script.net
,firstName351,lastName351,email351@script.net
,firstName26,lastName26,email26@script.net
,firstName426,lastName426,email426@script.net
,firstName880,lastName880,email880@script.net
,firstName882,lastName882,email882@script.net
,firstName229,lastName229,email229@script.net
,firstName999,lastName999,email999@script.net
,firstName906,lastName906,email906@script.net
,firstName114,lastName114,email114@script.net
,firstName771,lastName771,email771@script.net
,firstName763,lastName763,email763@script.net
,firstName983,lastName983,email983@script.net
,firstName310,lastName310,email310@script.net
,Marcus,Gobis,sibogm@gmail.com
,firstName623,lastName623,email623@script.net
,firstName736,lastName736,email736@script.net

Androscoggin Valley ATV,firstName675,lastName675,email675@script.net
,firstName956,lastName956,email956@script.net
,firstName790,lastName790,email790@script.net
,firstName459,lastName459,email459@script.net
,firstName85,lastName85,email85@script.net
,firstName651,lastName651,email651@script.net
,firstName116,lastName116,email116@script.net
,firstName885,lastName885,email885@script.net
,firstName810,lastName810,email810@script.net
,firstName288,lastName288,email288@script.net
,firstName716,lastName716,email716@script.net
,firstName303,lastName303,email303@script.net
,firstName76,lastName76,email76@script.net
,firstName927,lastName927,email927@script.net
,firstName356,lastName356,email356@script.net
,firstName403,lastName403,email403@script.net
,firstName249,lastName249,email249@script.net
,firstName330,lastName330,email330@script.net
,firstName390,lastName390,email390@script.net
,firstName462,lastName462,email462@script.net
,,,
,firstName606,lastName606,email606@script.net
,firstName423,lastName423,email423@script.net
,firstName610,lastName610,email610@script.net
,firstName89,lastName89,email89@script.net
,firstName670,lastName670,email670@script.net
,firstName707,lastName707,email707@script.net
,Marcus,Gobis,mg1021@plymouth.edu
,firstName911,lastName911,email911@script.net
,firstName876,lastName876,email876@script.net
,firstName233,lastName233,email233@script.net
,firstName554,lastName554,email554@script.net
,firstName218,lastName218,email218@script.net
,firstName628,lastName628,email628@script.net
,firstName838,lastName838,email838@script.net
,firstName552,lastName552,email552@script.net
,firstName542,lastName542,email542@script.net
,firstName852,lastName852,email852@script.net
,firstName568,lastName568,email568@script.net
,firstName179,lastName179,email179@script.net
,firstName252,lastName252,email252@script.net
,firstName756,lastName756,email756@script.net
,firstName84,lastName84,email84@script.net
,firstName908,lastName908,email908@script.net
,firstName91,lastName91,email91@script.net
,firstName609,lastName609,email609@script.net
,firstName579,lastName579,email579@script.net
,firstName557,lastName557,email557@script.net
,firstName172,lastName172,email172@script.net
,firstName79,lastName79,email79@script.net
,firstName620,lastName620,email620@script.net
,firstName597,lastName597,email597@script.net
,Marcus,Gobis,sibogm@gmail.com
,firstName685,lastName685,email685@script.net
,firstName787,lastName787,email787@script.net
,firstName445,lastName445,email445@script.net
,firstName803,lastName803,email803@script.net
,firstName788,lastName788,email788@script.net
,firstName650,lastName650,email650@script.net

Boundtree ATV,firstName954,lastName954,email954@script.net
,firstName666,lastName666,email666@script.net
,firstName984,lastName984,email984@script.net
,firstName751,lastName751,email751@script.net
,firstName127,lastName127,email127@script.net
,firstName320,lastName320,email320@script.net
,firstName861,lastName861,email861@script.net
,firstName92,lastName92,email92@script.net
,firstName216,lastName216,email216@script.net
,firstName701,lastName701,email701@script.net
,firstName169,lastName169,email169@script.net
,firstName540,lastName540,email540@script.net
,firstName350,lastName350,email350@script.net
,firstName683,lastName683,email683@script.net
,firstName501,lastName501,email501@script.net
,firstName318,lastName318,email318@script.net
,firstName125,lastName125,email125@script.net
