Members of New Hampshire ATV:
First Name, Last Name, Email, DoB, Amount Due, Active?, Phone Number, NHOHVA Id, Issue Date, Expiration Date
Marcus,Gobis,mg1021@plymouth.edu,,20.00,y,,18A52894,2018-05-01,2019-01-01
firstName18,lastName18,email18@script.net,,0.00,y,,18A3272278,0000-00-00,2019-01-01
firstName32,lastName32,email32@script.net,,0.00,y,,18A1370452,0000-00-00,2019-01-01
firstName37,lastName37,email37@script.net,,0.00,y,,18A1409677,0000-00-00,2019-01-01
firstName48,lastName48,email48@script.net,,0.00,y,,18A1705294,0000-00-00,2019-01-01
firstName60,lastName60,email60@script.net,,0.00,y,,18A3810697,0000-00-00,2019-01-01
firstName71,lastName71,email71@script.net,,0.00,y,,18A3731027,0000-00-00,2019-01-01
firstName73,lastName73,email73@script.net,,0.00,y,,18A2578988,0000-00-00,2019-01-01
firstName93,lastName93,email93@script.net,,0.00,y,,18A348261,0000-00-00,2019-01-01
firstName123,lastName123,email123@script.net,,0.00,y,,18A5993604,0000-00-00,2019-01-01
firstName126,lastName126,email126@script.net,,0.00,y,,18A6559621,0000-00-00,2019-01-01
firstName138,lastName138,email138@script.net,,0.00,y,,18A5511385,0000-00-00,2019-01-01
firstName140,lastName140,email140@script.net,,0.00,y,,18A9834567,0000-00-00,2019-01-01
firstName220,lastName220,email220@script.net,,0.00,y,,18A382825,0000-00-00,2019-01-01
firstName237,lastName237,email237@script.net,,0.00,y,,18A2395872,0000-00-00,2019-01-01
firstName280,lastName280,email280@script.net,,0.00,y,,18A102694,0000-00-00,2019-01-01
firstName285,lastName285,email285@script.net,,0.00,y,,18A8356290,0000-00-00,2019-01-01
firstName294,lastName294,email294@script.net,,0.00,y,,18A2853566,0000-00-00,2019-01-01
firstName313,lastName313,email313@script.net,,0.00,y,,18A2078685,0000-00-00,2019-01-01
firstName327,lastName327,email327@script.net,,0.00,y,,18A8739880,0000-00-00,2019-01-01
firstName329,lastName329,email329@script.net,,0.00,y,,18A713764,0000-00-00,2019-01-01
firstName371,lastName371,email371@script.net,,0.00,y,,18A1877308,0000-00-00,2019-01-01
firstName375,lastName375,email375@script.net,,0.00,y,,18A639481,0000-00-00,2019-01-01
firstName402,lastName402,email402@script.net,,0.00,y,,18A6616881,0000-00-00,2019-01-01
firstName406,lastName406,email406@script.net,,0.00,y,,18A5902034,0000-00-00,2019-01-01
firstName421,lastName421,email421@script.net,,0.00,y,,18A3148183,0000-00-00,2019-01-01
firstName424,lastName424,email424@script.net,,0.00,y,,18A1653031,0000-00-00,2019-01-01
firstName446,lastName446,email446@script.net,,0.00,y,,18A4757336,0000-00-00,2019-01-01
firstName453,lastName453,email453@script.net,,0.00,y,,18A3991030,0000-00-00,2019-01-01
firstName456,lastName456,email456@script.net,,0.00,y,,18A7417109,0000-00-00,2019-01-01
firstName475,lastName475,email475@script.net,,0.00,y,,18A12805,0000-00-00,2019-01-01
firstName487,lastName487,email487@script.net,,0.00,y,,18A7128795,0000-00-00,2019-01-01
firstName514,lastName514,email514@script.net,,0.00,y,,18A351666,0000-00-00,2019-01-01
firstName543,lastName543,email543@script.net,,0.00,y,,18A8071961,0000-00-00,2019-01-01
firstName548,lastName548,email548@script.net,,0.00,y,,18A6298507,0000-00-00,2019-01-01
firstName573,lastName573,email573@script.net,,0.00,y,,18A3959146,0000-00-00,2019-01-01
firstName592,lastName592,email592@script.net,,0.00,y,,18A3265056,0000-00-00,2019-01-01
firstName636,lastName636,email636@script.net,,0.00,y,,18A3385710,0000-00-00,2019-01-01
firstName684,lastName684,email684@script.net,,0.00,y,,18A4052875,0000-00-00,2019-01-01
firstName692,lastName692,email692@script.net,,0.00,y,,18A6344717,0000-00-00,2019-01-01
firstName699,lastName699,email699@script.net,,0.00,y,,18A8038545,0000-00-00,2019-01-01
firstName700,lastName700,email700@script.net,,0.00,y,,18A8676191,0000-00-00,2019-01-01
firstName727,lastName727,email727@script.net,,0.00,y,,18A7728904,0000-00-00,2019-01-01
firstName744,lastName744,email744@script.net,,0.00,y,,18A8093349,0000-00-00,2019-01-01
firstName750,lastName750,email750@script.net,,0.00,y,,18A8842408,0000-00-00,2019-01-01
firstName753,lastName753,email753@script.net,,0.00,y,,18A9215996,0000-00-00,2019-01-01
firstName762,lastName762,email762@script.net,,0.00,y,,18A4643882,0000-00-00,2019-01-01
firstName764,lastName764,email764@script.net,,0.00,y,,18A1471377,0000-00-00,2019-01-01
firstName809,lastName809,email809@script.net,,0.00,y,,18A9690812,0000-00-00,2019-01-01
firstName822,lastName822,email822@script.net,,0.00,y,,18A8839543,0000-00-00,2019-01-01
firstName873,lastName873,email873@script.net,,0.00,y,,18A1814581,0000-00-00,2019-01-01
firstName925,lastName925,email925@script.net,,0.00,y,,18A696294,0000-00-00,2019-01-01
firstName926,lastName926,email926@script.net,,0.00,y,,18A149360,0000-00-00,2019-01-01
firstName952,lastName952,email952@script.net,,0.00,y,,18A6958420,0000-00-00,2019-01-01
firstName970,lastName970,email970@script.net,,0.00,y,,18A8311067,0000-00-00,2019-01-01

